data_set,node,n_leaves,leaves,best_taxid_match,node_precision,node_taxids,leaf,best_match_taxid,description
ERR13488565,Inner11,5,"['ERR13488565_good_R1.fastq_10682_NC_050152.1.fna.bam', 'ERR13488565_good_R1.fastq_2731619_NC_017451.1.fna.bam', 'ERR13488565_good_R1.fastq_10239_NZ_CP010905.2.fna.bam', 'ERR13488565_good_R1.fastq_2786405_NC_074583.1.fna.bam', 'ERR13488565_good_R1.fastq_2786389_NC_074405.1.fna.bam']",2731619,0.2,"[2731619, 2786389, 10239, 2786405, 10682]",ERR13488565_good_R1.fastq_2731619_NC_017451.1.fna.bam,2731619,caudoviricetes
ERR13488565,Inner4,2,"['ERR13488565_good_R1.fastq_208893_NC_001803.1.fna.bam', 'ERR13488565_good_R1.fastq_11250_GCA_965153015.1.fna.bam']",11250,0.5,"[11250, 208893]",ERR13488565_good_R1.fastq_11250_GCA_965153015.1.fna.bam,11250,human_respiratory_syncytial_virus
ERR13488565,Inner8,5,"['ERR13488565_good_R1.fastq_10358_GCA_910591755.1.fna.bam', 'ERR13488565_good_R1.fastq_1654930_NC_075417.1.fna.bam', 'ERR13488565_good_R1.fastq_188763_NC_003521.1.fna.bam', 'ERR13488565_good_R1.fastq_10359_NC_006273.2.fna.bam', 'ERR13488565_good_R1.fastq_1919083_NC_033176.1.fna.bam']",10359,0.2,"[10359, 10358, 1654930, 188763, 1919083]",ERR13488565_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
ERR13488565,Inner1,2,"['ERR13488565_good_R1.fastq_10886_GCF_006298385.1.fna.bam', 'ERR13488565_good_R1.fastq_538123_NC_077846.1.fna.bam']",10886,0.5,"[10886, 538123]",ERR13488565_good_R1.fastq_10886_GCF_006298385.1.fna.bam,10886,mammalian_orthoreovirus_3_dearing
ERR13488565,ERR13488565_good_R1.fastq_10372_NC_001716.2.fna.bam,1,['ERR13488565_good_R1.fastq_10372_NC_001716.2.fna.bam'],10372,1.0,[10372],ERR13488565_good_R1.fastq_10372_NC_001716.2.fna.bam,10372,human_betaherpesvirus_7
ERR13488565,ERR13488565_good_R1.fastq_130309_NC_001454.1.fna.bam,1,['ERR13488565_good_R1.fastq_130309_NC_001454.1.fna.bam'],130309,1.0,[130309],ERR13488565_good_R1.fastq_130309_NC_001454.1.fna.bam,130309,human_mastadenovirus_f
ERR13488565,ERR13488565_good_R1.fastq_518987_GCA_036281715.1.fna.bam,1,['ERR13488565_good_R1.fastq_518987_GCA_036281715.1.fna.bam'],518987,1.0,[518987],ERR13488565_good_R1.fastq_518987_GCA_036281715.1.fna.bam,518987,influenza_b_virus_(b/lee/1940)
ERR13488565,ERR13488565_good_R1.fastq_64320_GCF_004788155.1.fna.bam,1,['ERR13488565_good_R1.fastq_64320_GCF_004788155.1.fna.bam'],64320,1.0,[64320],ERR13488565_good_R1.fastq_64320_GCF_004788155.1.fna.bam,64320,zika_virus
ERR13488565,Inner6,2,"['ERR13488565_good_R1.fastq_11946_NC_015116.1.fna.bam', 'ERR13488565_good_R1.fastq_93465_NC_005947.1.fna.bam']",93465,0.5,"[93465, 11946]",ERR13488565_good_R1.fastq_93465_NC_005947.1.fna.bam,93465,avian_endogenous_retrovirus_eav-hp
ERR13488567,ERR13488567_good_R1.fastq_10804_NC_001401.2.fna.bam,1,['ERR13488567_good_R1.fastq_10804_NC_001401.2.fna.bam'],10804,1.0,[10804],ERR13488567_good_R1.fastq_10804_NC_001401.2.fna.bam,10804,adeno-associated_virus_2
ERR13488567,Inner1,2,"['ERR13488567_good_R1.fastq_10359_NC_006273.2.fna.bam', 'ERR13488567_good_R1.fastq_10358_GCA_910591755.1.fna.bam']",10359,0.5,"[10359, 10358]",ERR13488567_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
